artists,genres,popularity,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,key,mode,duration_ms,count
3X Krazy,"['g funk', 'hyphy', 'west coast rap', 'west coast trap']",46,0.49,0.0165,0.719,0.686,0,0.236,-4.169,0.0829,95.19,10,0,358467,2
3rd Bass,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']",28.33333333,0.650333333,0.159066667,0.850333333,0.665666667,0,0.157866667,-13.846,0.253333333,105.8423333,4,1,245560,6
3rd Strike,"['nu metal', 'rap rock']",38,0.394,0.0075,0.444,0.859,4.32E-05,0.24,-4.962,0.0484,99.655,2,1,249827,2
3年E組うた担(渚&茅野&業&磯貝&前原),[],59.5,0.8115,0.02194,0.515,0.966,1.45E-05,0.2695,-2.603,0.0696,178.48,7,1,257513.5,4
4 Non Blondes,"['new wave pop', 'pop rock']",48.33333333,0.446166667,0.18415,0.528666667,0.57,5.10E-07,0.126633333,-10.1005,0.03825,117.8765,7,1,239673.3333,12
4 P.M.,"['anime rock', 'vocaloid']",37,0.348,0.749,0.363,0.388,0,0.363,-8.608,0.034,76.099,11,0,162093,2
4 Skins,"['oi', 'punk', 'ska']",33.5,0.4985,0.0104,0.2655,0.9295,2.61E-06,0.6155,-4.733,0.125,154.4345,11,0,158007,4
4 Strings,"['bubble trance', 'dutch trance', 'progressive house', 'trance', 'uplifting trance', 'vocal trance']",57,0.267,0.00212,0.617,0.79,0.0455,0.159,-6.983,0.0365,138.001,3,0,190427,2
40 Thevz,[],52,0.455,0.0102,0.76,0.585,0.000476,0.308,-7.307,0.161,91.179,3,1,311040,2
42 Dugg,"['detroit trap', 'rap', 'southern hip hop', 'trap']",69.22222222,0.339666667,0.196977778,0.846888889,0.566555556,0,0.151466667,-6.050555556,0.340888889,126.2526667,1,0,175771,9
42nd Street Ensemble,['broadway'],4,0.362,0.885,0.314,0.395,7.93E-06,0.293,-11.237,0.0538,165.023,7,1,301040,2
45 Grave,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']",30.5,0.64775,0.016083825,0.4175,0.79125,0.41150196,0.139525,-8.59175,0.066975,155.6615,9,1,162716.75,8
4509 STARPASS Prodcutions,[],0,0.152,0.784,0.628,0.091,0.000944,0.102,-18.878,0.0398,130.486,0,1,256981,2
4Him,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']",33.66666667,0.311666667,0.282333333,0.476333333,0.487333333,0.001573783,0.111333333,-10.05633333,0.030133333,111.2396667,4,1,290636.3333,6
4Minute,"['k-pop', 'k-pop girl group']",61,0.624,0.00589,0.54,0.929,4.01E-06,0.424,-2.646,0.278,176.023,7,1,192400,2
5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']",61.01538462,0.520938462,0.043567354,0.547307692,0.804584615,1.55E-05,0.181710769,-4.599892308,0.104403077,141.8839231,0,1,195593.0769,65
50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']",52.34269663,0.589769663,0.122386348,0.695039326,0.76238764,0.000548475,0.198361236,-4.149426966,0.259516292,105.929427,1,1,234964.0899,178
50 Guitars of Tommy Garrett,"['ballroom', 'easy listening']",25.66666667,0.4965,0.791833333,0.496166667,0.286166667,0.22638,0.112466667,-12.67116667,0.0331,117.9436667,7,1,168044.3333,12
504 Boyz,"['dirty south rap', 'pop rap', 'southern hip hop']",47.5,0.532,0.01643,0.809,0.624,0,0.2355,-8.81,0.2565,125.0315,11,1,212434,4
520Hz,['white noise'],57,0,0.996,0,0.0197,0.996,0.104,-47.19,0,0,1,1,197680,2
54-40,"['canadian indie', 'canadian rock']",42,0.7225,0.2275,0.6625,0.5975,0.0401047,0.10765,-11.6815,0.02975,126.4555,9,1,211060,4
5th Ward Boyz,"['dirty south rap', 'dirty texas rap', 'gangster rap', 'houston rap']",36,0.599,0.158,0.842,0.336,0,0.256,-8.227,0.379,78.001,4,0,352173,1
6 Dogs,"['dark trap', 'emo rap', 'melodic rap', 'sad rap', 'underground hip hop', 'vapor trap']",66,0.328,0.224,0.748,0.66,0.053,0.101,-4.704,0.0487,137.033,6,1,171907,2
69 Boyz,['miami bass'],41.75,0.6795,0.03269,0.851,0.742,0,0.18345,-11.60925,0.22375,133.01425,9,0,256279.75,8
6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']",63.86956522,0.308895652,0.266721304,0.637130435,0.520434783,0.001885923,0.122969565,-7.958130435,0.16056087,121.3756304,0,1,220217.8913,46
6cyclemind,"['opm', 'pinoy rock']",57.5,0.47,0.443,0.7175,0.4735,0.00158574,0.131,-8.5365,0.03095,97.2875,3,1,295993,4
6ix9ine,['emo rap'],69.30769231,0.455384615,0.112184615,0.733730769,0.697923077,4.61E-06,0.144330769,-5.134038462,0.240761538,123.0933846,1,1,156294.8462,26
7 Aurelius,[],51,0.794,0.128,0.768,0.725,0,0.122,-6.543,0.292,98.963,11,1,214560,2
7 FN,[],63,0.369,0.14,0.897,0.413,0,0.0708,-13.63,0.122,95.02,1,1,161684,2
7 Seconds,"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge', 'thrash core']",31,0.398,1.18E-05,0.451,0.908,0.00888,0.155,-11.616,0.0627,103.893,1,0,189200,2
7 Year Bitch,"['grunge', 'riot grrrl']",41,0.708,9.03E-06,0.349,0.709,0.0095,0.147,-12.339,0.0336,114.581,9,0,167333,2
702,"['girl group', 'hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']",52.11111111,0.59,0.197222222,0.74,0.611222222,0.004330793,0.164422222,-8.151888889,0.065811111,99.07033333,10,1,255970.2222,9
707,[],25,0.599,0.0645,0.671,0.707,0.0163,0.057,-11.549,0.0336,125.829,9,0,285533,2
8-Bit Arcade,"['8-bit', 'scorecore']",48,0.975,0.762,0.712,0.818,0.876,0.126,-9.18,0.047,133.444,7,1,115177,2
808 State,"['acid house', 'big beat', 'chicago house', 'electronica', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']",42,0.5025,0.00857,0.5535,0.8715,0.5855,0.1215,-8.0475,0.05975,128.4775,8,1,285153.5,4
88-Keys,['alternative hip hop'],54,0.5,0.13795,0.649,0.6435,5.35E-07,0.421,-5.637,0.28,122.3495,1,1,195875.5,2
88GLAM,"['canadian hip hop', 'melodic rap', 'rap', 'southern hip hop', 'toronto rap', 'trap', 'trap soul', 'underground hip hop', 'vapor trap']",68,0.594,0.0166,0.764,0.672,1.06E-06,0.103,-4.274,0.0655,150.021,6,0,180813,2
88rising,"['asian american hip hop', 'pop']",69.83333333,0.385333333,0.527466667,0.585,0.463166667,4.60E-05,0.21815,-9.008666667,0.091983333,109.5878333,1,1,209444.6667,6
8Ball,"['crunk', 'dirty south rap', 'gangster rap', 'memphis hip hop', 'southern hip hop', 'trap']",42.53846154,0.539076923,0.073376923,0.780538462,0.664384615,0.0006,0.242384615,-6.487769231,0.1845,122.0759231,1,1,282367.3077,13
8Ball & MJG,"['dirty south rap', 'gangster rap', 'memphis hip hop', 'rap', 'southern hip hop', 'trap']",37.23333333,0.6019,0.030979733,0.793266667,0.6228,0.001987389,0.191206667,-9.0515,0.263913333,129.2988333,11,1,311073.3333,30
8father,[],60,0.389,0.103,0.834,0.375,0,0.145,-6.258,0.391,95.993,0,1,60056,1
